,이름,차량번호,링크,연식,주행거리,연료,배기량,색상,보증정보,가격,신차대비가격,옵션_선루프,옵션_파노라마선루프,옵션_열선앞,옵션_열선뒤,옵션_전방센서,옵션_후방센서,옵션_전방캠,옵션_후방캠,옵션_어라운드뷰,옵션_네비순정,보험이력등록,소유자변경횟수,사고상세_전손,사고상세_침수전손,사고상세_침수분손,사고상세_도난,보험_내차피해(횟수),보험_내차피해(가격),사고상세_타차가해(횟수),보험_내차피해(가격)
874,제네시스 EQ900  5.0 AWD 프레스티지   ,차량번호 114거4004,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2189563&gubun=K,2017.08 (18년형),"85,000 km",가솔린,"5,038 cc (425마력)",검정색,불가,"99,999만원",863,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
875,제네시스 EQ900  3.3 터보 AWD 럭셔리   ,차량번호 13저0298,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214562&gubun=K,2016.09,"210,252 km",가솔린,"3,342 cc (370마력)",검정색,불가,"1,999만원",25,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
876,제네시스 EQ900 5.0 AWD 프레스티지,차량번호 40소0211,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214916&gubun=K,2016.06,"75,503 km",가솔린,"5,038 cc (425마력)",검정색,만료,"3,450만원",30,유,무,유,유,유,유,유,유,유,유,등록,5,0,0,0,0,0,0,0,0
877,제네시스 EQ900 3.8  럭셔리,차량번호 176두2282,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217190&gubun=K,2018.11,"84,360 km",가솔린,"3,778 cc (315마력)",검정색,만료,"2,780만원",37,,,,,,,,,,,등록,1,0,0,0,0,1,"416,460",2,"1,674,973"
878,제네시스 EQ900 3.8 AWD 프리미엄 럭셔리,차량번호 50가3599,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217192&gubun=K,2018.02,"63,479 km",가솔린,"3,778 cc (315마력)",검정색,만료,"3,590만원",40,,,,,,,,,,,등록,1,0,0,0,0,0,0,0,0
879,제네시스 EQ900 3.3 터보 AWD 프레스티지,차량번호 32부9384,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214096&gubun=K,2016.04,"78,739 km",가솔린,"3,342 cc (370마력)",회색,만료,"3,530만원",32,유,무,무,유,유,유,유,유,유,유,등록,3,0,0,0,0,6,"7,937,131",3,"1,342,280"
880,제네시스 EQ900 3.8 AWD 럭셔리,차량번호 32버0884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214094&gubun=K,2016.01,"83,336 km",가솔린,"3,778 cc (315마력)",검정색,만료,"2,550만원",34,유,무,무,유,유,유,무,유,유,유,등록,1,0,0,0,0,1,"714,513",3,"6,341,201"
881,제네시스 EQ900 3.8 AWD  프리미엄 럭셔리,차량번호 65저0508,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217191&gubun=K,2016.01,"87,428 km",가솔린,"3,778 cc (315마력)",검정색,만료,"3,070만원",35,유,무,무,유,유,유,무,유,유,유,등록,1,0,0,0,0,0,0,0,0
882,제네시스 EQ900  3.3 터보 AWD 프리미엄 럭셔리,차량번호 10조3815,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216700&gubun=K,2018.01,"162,021 km",가솔린,"3,342 cc (370마력)",검정색,만료,"2,675만원",28,무,무,유,유,무,유,유,유,유,유,등록,4,0,0,0,0,4,"5,266,212",0,0
883,제네시스 EQ900 3.3 터보 AWD 프리미엄 럭셔리,차량번호 123수3209,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208805&gubun=K,2016.07,"71,541 km",가솔린,"3,342 cc (370마력)",흰색,만료,"2,990만원",32,유,무,유,유,유,유,유,유,유,유,등록,8,0,0,0,0,7,"21,541,805",1,"880,522"
884,제네시스 EQ900 3.8 AWD  럭셔리,차량번호 38마7474,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217015&gubun=K,2017.10 (18년형),"32,421 km",가솔린,"3,778 cc (315마력)",검정색,만료,"3,350만원",45,,,,,,,,,,,등록,5,0,0,0,0,2,"5,061,100",0,0
885,제네시스 EQ900 3.3 터보 AWD  럭셔리,차량번호 07머0590,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217013&gubun=K,2016.01,"68,478 km",가솔린,"3,342 cc (370마력)",진회색,만료,"2,770만원",35,무,무,유,유,유,유,무,유,유,유,등록,2,0,0,0,0,1,"1,088,341",0,0
886,제네시스 EQ900 3.3 터보 AWD  럭셔리,차량번호 148우8682,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217011&gubun=K,2016.04,"99,439 km",가솔린,"3,342 cc (370마력)",검정색,만료,"2,370만원",30,무,무,무,유,유,유,무,유,무,유,등록,4,0,0,0,0,4,"3,670,206",3,"1,291,827"
887,제네시스 EQ900  3.3 터보 AWD 럭셔리   ,차량번호 46오0487,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214756&gubun=K,2016.07,"58,000 km",가솔린,"3,342 cc (370마력)",검정색,불가,[계약],38,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
888,제네시스 EQ900  5.0 AWD 프레스티지   ,차량번호 114거4004,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2189563&gubun=K,2017.08 (18년형),"85,000 km",가솔린,"5,038 cc (425마력)",검정색,불가,"99,999만원",863,유,무,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
889,현대 YF쏘나타 2.0 VVT  Y20 프리미어 고급형,차량번호 32부6596,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216628&gubun=K,2009.11 (10년형),"39,390 km",가솔린,"1,998 cc (165마력)",회색,만료,700만원,28,유,유,무,유,무,유,무,유,무,무,등록,,,,,,,,,
890,현대 LF쏘나타 2.0  스마트,차량번호 28오1628,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217228&gubun=K,2014.05 (15년형),"44,406 km",가솔린,"1,999 cc (168마력)",흰색,만료,"1,350만원",53,유,유,무,유,유,유,유,유,무,무,등록,3,0,0,0,0,5,"6,755,568",2,"1,957,630"
891,현대 LF쏘나타 2.0 터보  익스클루시브,차량번호 41조0269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217009&gubun=K,2016.09 (17년형),"51,390 km",가솔린,"1,998 cc (245마력)",검정색,만료,"1,690만원",52,유,무,무,유,유,유,무,무,무,유,등록,4,0,0,0,0,1,"752,860",0,0
892,현대 쏘나타 뉴 라이즈 1.6 터보  스마트,차량번호 361보3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217014&gubun=K,2018.05 (19년형),"81,000 km",가솔린,"1,591 cc (180마력)",흰색,만료,"1,480만원",53,,,,,,,,,,,등록,3,0,0,0,0,0,0,1,"791,575"
893,현대 쏘나타 더 브릴리언트  2.0 터보 프리미엄   ,차량번호 23서3239,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213869&gubun=K,2013.08 (14년형),"129,704 km",가솔린,"1,998 cc (271마력)",흰색,불가,790만원,24,유,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
894,현대 쏘나타 하이브리드  2.0 HEV 인스퍼레이션   ,차량번호 253서9094,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216635&gubun=K,2021.04,"31,000 km",가솔린 하이브리드,"1,999 cc (195마력)",기타색상,"60개월 / 100,000km","3,020만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
895,현대 쏘나타 하이브리드 2.0 HEV 프리미어,차량번호 55무9798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213878&gubun=K,2012.09,"94,278 km",가솔린 하이브리드,"1,999 cc (150마력)",회색,만료,800만원,25,무,무,유,유,무,유,무,유,무,무,등록,2,0,0,0,0,1,"952,758",1,"2,213,286"
896,현대 LF쏘나타 2.0 스마트,차량번호 25러6422,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213880&gubun=K,2014.09 (15년형),"91,761 km",가솔린,"1,999 cc (168마력)",빨간색,만료,"1,240만원",48,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,2,"838,508",1,"389,940"
897,현대 NF쏘나타 트랜스폼 2.0 럭셔리,차량번호 17소6494,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210157&gubun=K,2009.05,"108,500 km",가솔린,"1,998 cc ()",은색,만료,400만원,20,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,1,"332,910",1,"123,200"
898,현대 LF쏘나타 2.0 스마트,차량번호 46러4636,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214183&gubun=K,2015.10 (16년형),"59,253 km",가솔린,"1,999 cc (168마력)",회색,만료,"1,320만원",52,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,0,0,0,0
899,현대 쏘나타 하이브리드 2.0 HEV  프리미엄 밀레니얼,차량번호 365러7676,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216130&gubun=K,2021.03,"63,621 km",가솔린 하이브리드,"1,999 cc (195마력)",흰색,"60개월 / 100,000km","2,630만원",74,무,무,유,무,유,유,무,유,무,유,등록,1,0,0,0,0,1,"532,199",1,"976,102"
900,현대 LF쏘나타 1.7 디젤 스마트,차량번호 240저7000,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216040&gubun=K,2015.10 (16년형),"117,000 km",디젤,"1,685 cc (141마력)",은색,불가,"1,150만원",42,유,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
901,현대 LF쏘나타 2.0  스마트,차량번호 38도0618,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216956&gubun=K,2015.06,"105,106 km",가솔린,"1,999 cc (168마력)",은색,만료,699만원,27,무,무,유,무,무,유,무,유,무,무,등록,4,1,0,0,0,2,"25,115,760",1,"546,120"
902,현대 LF쏘나타 2.0 스마트,차량번호 12다3325,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210033&gubun=K,2014.08 (15년형),"95,499 km",가솔린,"1,999 cc (168마력)",검정색,만료,920만원,36,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,6,"15,662,975",4,"5,335,888"
903,현대 쏘나타 뉴 라이즈 2.0 스마트,차량번호 53버4011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209972&gubun=K,2018.01,"46,844 km",가솔린,"1,999 cc (163마력)",흰색,만료,"1,399만원",54,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,6,"7,700,792",5,"25,166,410"
904,현대 쏘나타 뉴 라이즈 2.0  모던,차량번호 02버4225,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216467&gubun=K,2017.04 (18년형),"72,457 km",가솔린,"1,999 cc (163마력)",흰색,만료,"1,380만원",50,무,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,2,"1,768,157",5,"5,241,811"
905,현대 쏘나타 뉴 라이즈 2.0 LPi  모던,차량번호 381구3720,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215905&gubun=K,2017.11 (18년형),"90,052 km",LPG,"1,999 cc (151마력)",흰색,만료,"1,140만원",50,무,무,유,무,무,유,무,무,무,유,등록,2,0,0,0,0,2,"8,306,271",4,"5,038,548"
906,현대 LF쏘나타 2.0 스마트,차량번호 69오9879,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215810&gubun=K,2014.06 (15년형),"62,703 km",가솔린,"1,999 cc (168마력)",검정색,만료,950만원,37,무,무,유,무,무,유,무,유,무,유,등록,4,0,0,0,0,4,"10,738,998",3,"5,900,754"
907,현대 YF쏘나타 2.0 VVT Y20 프리미어,차량번호 69누4730,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215811&gubun=K,2010.04,"113,957 km",가솔린,"1,998 cc (165마력)",검정색,만료,480만원,18,무,무,유,유,무,유,무,유,무,유,등록,1,0,0,0,0,1,"821,780",0,0
908,현대 쏘나타 2.0 프리미엄   ,차량번호 33호4337,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217184&gubun=K,2019.05 (20년형),"162,000 km",가솔린,"1,999 cc (160마력)",은색,"60개월 / 100,000km",230만원,소유,무,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
909,현대 YF쏘나타 2.0 VVT  Y20 프리미어 고급형,차량번호 32부6596,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216628&gubun=K,2009.11 (10년형),"39,390 km",가솔린,"1,998 cc (165마력)",회색,만료,700만원,28,유,유,무,유,무,유,무,유,무,무,등록,,,,,,,,,
910,현대 LF쏘나타 2.0  스마트,차량번호 28오1628,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217228&gubun=K,2014.05 (15년형),"44,406 km",가솔린,"1,999 cc (168마력)",흰색,만료,"1,350만원",53,유,유,무,유,유,유,유,유,무,무,등록,3,0,0,0,0,5,"6,755,568",2,"1,957,630"
911,현대 LF쏘나타 2.0 터보  익스클루시브,차량번호 41조0269,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217009&gubun=K,2016.09 (17년형),"51,390 km",가솔린,"1,998 cc (245마력)",검정색,만료,"1,690만원",52,유,무,무,유,유,유,무,무,무,유,등록,4,0,0,0,0,1,"752,860",0,0
912,현대 쏘나타 뉴 라이즈 1.6 터보  스마트,차량번호 361보3541,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217014&gubun=K,2018.05 (19년형),"81,000 km",가솔린,"1,591 cc (180마력)",흰색,만료,"1,480만원",53,,,,,,,,,,,등록,3,0,0,0,0,0,0,1,"791,575"
913,현대 쏘나타 더 브릴리언트  2.0 터보 프리미엄   ,차량번호 23서3239,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213869&gubun=K,2013.08 (14년형),"129,704 km",가솔린,"1,998 cc (271마력)",흰색,불가,790만원,24,유,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
914,현대 쏘나타 하이브리드  2.0 HEV 인스퍼레이션   ,차량번호 253서9094,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216635&gubun=K,2021.04,"31,000 km",가솔린 하이브리드,"1,999 cc (195마력)",기타색상,"60개월 / 100,000km","3,020만원",준비중,무,무,유,유,유,유,유,유,유,유,등록,1,0,0,0,0,0,0,0,0
915,현대 쏘나타 하이브리드 2.0 HEV 프리미어,차량번호 55무9798,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213878&gubun=K,2012.09,"94,278 km",가솔린 하이브리드,"1,999 cc (150마력)",회색,만료,800만원,25,무,무,유,유,무,유,무,유,무,무,등록,2,0,0,0,0,1,"952,758",1,"2,213,286"
916,현대 LF쏘나타 2.0 스마트,차량번호 25러6422,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213880&gubun=K,2014.09 (15년형),"91,761 km",가솔린,"1,999 cc (168마력)",빨간색,만료,"1,240만원",48,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,2,"838,508",1,"389,940"
917,현대 NF쏘나타 트랜스폼 2.0 럭셔리,차량번호 17소6494,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210157&gubun=K,2009.05,"108,500 km",가솔린,"1,998 cc ()",은색,만료,400만원,20,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,1,"332,910",1,"123,200"
918,현대 LF쏘나타 2.0 스마트,차량번호 46러4636,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214183&gubun=K,2015.10 (16년형),"59,253 km",가솔린,"1,999 cc (168마력)",회색,만료,"1,320만원",52,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,0,0,0,0
919,현대 쏘나타 하이브리드 2.0 HEV  프리미엄 밀레니얼,차량번호 365러7676,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216130&gubun=K,2021.03,"63,621 km",가솔린 하이브리드,"1,999 cc (195마력)",흰색,"60개월 / 100,000km","2,630만원",74,무,무,유,무,유,유,무,유,무,유,등록,1,0,0,0,0,1,"532,199",1,"976,102"
920,현대 LF쏘나타 1.7 디젤 스마트,차량번호 240저7000,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216040&gubun=K,2015.10 (16년형),"117,000 km",디젤,"1,685 cc (141마력)",은색,불가,"1,150만원",42,유,유,유,유,무,유,무,유,무,유,등록,,,,,,,,,
921,현대 LF쏘나타 2.0  스마트,차량번호 38도0618,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216956&gubun=K,2015.06,"105,106 km",가솔린,"1,999 cc (168마력)",은색,만료,699만원,27,무,무,유,무,무,유,무,유,무,무,등록,4,1,0,0,0,2,"25,115,760",1,"546,120"
922,현대 LF쏘나타 2.0 스마트,차량번호 12다3325,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2210033&gubun=K,2014.08 (15년형),"95,499 km",가솔린,"1,999 cc (168마력)",검정색,만료,920만원,36,무,무,유,무,무,유,무,유,무,무,등록,3,0,0,0,0,6,"15,662,975",4,"5,335,888"
923,현대 쏘나타 뉴 라이즈 2.0 스마트,차량번호 53버4011,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2209972&gubun=K,2018.01,"46,844 km",가솔린,"1,999 cc (163마력)",흰색,만료,"1,399만원",54,무,무,유,무,무,유,무,유,무,유,등록,1,0,0,0,0,6,"7,700,792",5,"25,166,410"
924,현대 쏘나타 뉴 라이즈 2.0  모던,차량번호 02버4225,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216467&gubun=K,2017.04 (18년형),"72,457 km",가솔린,"1,999 cc (163마력)",흰색,만료,"1,380만원",50,무,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,2,"1,768,157",5,"5,241,811"
925,현대 쏘나타 뉴 라이즈 2.0 LPi  모던,차량번호 381구3720,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215905&gubun=K,2017.11 (18년형),"90,052 km",LPG,"1,999 cc (151마력)",흰색,만료,"1,140만원",50,무,무,유,무,무,유,무,무,무,유,등록,2,0,0,0,0,2,"8,306,271",4,"5,038,548"
926,현대 LF쏘나타 2.0 스마트,차량번호 69오9879,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215810&gubun=K,2014.06 (15년형),"62,703 km",가솔린,"1,999 cc (168마력)",검정색,만료,950만원,37,무,무,유,무,무,유,무,유,무,유,등록,4,0,0,0,0,4,"10,738,998",3,"5,900,754"
927,현대 YF쏘나타 2.0 VVT Y20 프리미어,차량번호 69누4730,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215811&gubun=K,2010.04,"113,957 km",가솔린,"1,998 cc (165마력)",검정색,만료,480만원,18,무,무,유,유,무,유,무,유,무,유,등록,1,0,0,0,0,1,"821,780",0,0
928,현대 쏘나타 2.0 프리미엄   ,차량번호 33호4337,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217184&gubun=K,2019.05 (20년형),"162,000 km",가솔린,"1,999 cc (160마력)",은색,"60개월 / 100,000km",230만원,소유,무,무,유,유,무,유,무,유,무,유,등록,,,,,,,,,
929,현대 쏘나타 뉴 라이즈 2.0  모던,차량번호 19가8971,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216252&gubun=K,2018.06,"70,000 km",가솔린,"1,999 cc (163마력)",검정색,만료,"1,670만원",61,유,무,유,유,유,유,무,유,무,유,등록,1,0,0,0,0,2,"1,847,370",5,"3,425,952"
930,현대 YF쏘나타  2.0 VVT Y20 프라임 블랙   ,차량번호 23머5748,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215439&gubun=K,2010.09 (11년형),"90,860 km",가솔린,"1,998 cc (165마력)",진회색,불가,488만원,20,무,무,무,유,무,유,무,유,무,무,미등록,,,,,,,,,
931,현대 NF쏘나타 2.0 LPi 디럭스 고급형,차량번호 09고3600,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214811&gubun=K,2006.12 (07년형),"166,000 km",LPG,"1,998 cc ()",은색,만료,260만원,준비중,무,무,무,무,무,무,무,무,무,무,등록,4,0,0,0,0,5,"3,053,448",1,"447,970"
932,현대 쏘나타 2.0 프리미어 밀레니얼,차량번호 157너5339,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214853&gubun=K,2020.03,"33,741 km",가솔린,"1,999 cc (160마력)",검정색,"60개월 / 100,000km","2,320만원",77,,,,,,,,,,,등록,3,0,0,0,0,0,0,0,0
933,현대 쏘나타 2.0 인스퍼레이션,차량번호 36루7452,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214855&gubun=K,2019.05 (20년형),"55,538 km",가솔린,"1,999 cc (160마력)",검정색,"60개월 / 100,000km","2,330만원",70,,,,,,,,,,,등록,1,0,0,0,0,1,"1,124,216",1,"404,860"
934,현대 쏘나타 하이브리드 2.0 HEV 프리미엄,차량번호 106구1324,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216801&gubun=K,2019.10 (20년형),"30,000 km",가솔린 하이브리드,"1,999 cc (195마력)",검정색,"60개월 / 100,000km","2,059만원",66,무,무,유,유,무,유,무,유,무,유,등록,2,0,0,0,0,2,"1,303,603",0,0
935,현대 쏘나타  2.0 프리미엄 패밀리   ,차량번호 41두6118,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217146&gubun=K,2019.07 (20년형),"30,070 km",가솔린,"1,999 cc (160마력)",흰색,"60개월 / 100,000km","2,190만원",76,유,무,유,유,유,유,무,유,무,유,등록,2,0,0,0,0,1,"593,855",1,"598,931"
936,현대 쏘나타 뉴 라이즈 2.0  스마트 초이스,차량번호 68두9227,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217046&gubun=K,2018.11 (19년형),"102,000 km",가솔린,"1,999 cc (163마력)",기타색상,만료,"1,390만원",56,,,,,,,,,,,등록,1,0,0,0,0,0,0,1,"1,195,350"
937,현대 쏘나타 디 엣지 2.0  익스클루시브,차량번호 180하1603,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216378&gubun=K,2023.11 (24년형),10 km,가솔린,"1,999 cc ()",흰색,정보없음,0원,소유,,,,,,,,,,,등록,,,,,,,,,
938,현대 YF쏘나타 2.0 LPi  프리미어,차량번호 62다1144,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216757&gubun=K,2009.10 (10년형),"246,675 km",LPG,"1,998 cc (157마력)",은색,만료,250만원,준비중,,,,,,,,,,,등록,2,0,0,0,0,7,"2,716,295",1,"410,930"
939,현대 LF쏘나타 2.0  스마트,차량번호 41보9999,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216741&gubun=K,2014.08 (15년형),"91,477 km",가솔린,"1,999 cc (168마력)",흰색,만료,760만원,29,유,유,무,유,유,유,유,유,무,무,등록,4,1,0,0,0,8,"19,918,481",3,"7,517,970"
940,현대 LF쏘나타 2.0 LPi 스마트,차량번호 164루2688,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215968&gubun=K,2015.12 (16년형),"250,000 km",LPG,"1,999 cc (151마력)",흰색,불가,750만원,준비중,,,,,,,,,,,등록,,,,,,,,,
941,현대 쏘나타 뉴 라이즈 2.0 모던,차량번호 03누4062,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215986&gubun=K,2017.12 (18년형),"138,746 km",가솔린,"1,999 cc (163마력)",진회색,불가,"1,700만원",62,유,무,유,유,유,유,무,유,무,유,등록,,,,,,,,,
942,현대 쏘나타2 1.8  GL,차량번호 21노3045,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214766&gubun=K,1995.10,"234,754 km",가솔린,"1,796 cc (135마력)",흰색,만료,250만원,20,,,,,,,,,,,등록,,,,,,,,,
943,현대 쏘나타  2.0 LPi 모던   ,차량번호 362마6507,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2212936&gubun=K,2019.09 (20년형),"35,000 km",LPG,"1,999 cc (146마력)",검정색,"60개월 / 100,000km","2,200만원",82,무,무,유,무,유,유,무,유,무,유,미등록,,,,,,,,,
944,현대 쏘나타 더 브릴리언트 2.0  스타일,차량번호 67가8843,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215260&gubun=K,2012.12 (13년형),"60,100 km",가솔린,"1,999 cc (172마력)",검정색,만료,660만원,32,유,유,무,무,무,유,무,유,무,무,등록,,,,,,,,,
945,현대 YF쏘나타 2.0 CVVL 프리미어,차량번호 15부1298,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2214614&gubun=K,2009.12 (10년형),"151,000 km",가솔린,"1,998 cc (172마력)",진회색,만료,330만원,12,무,무,유,무,무,유,무,유,무,유,등록,,,,,,,,,
946,현대 쏘나타 하이브리드  2.0 HEV 모던  ,차량번호 24부1196,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2213031&gubun=K,2013.07 (14년형),"196,000 km",가솔린 하이브리드,"1,999 cc (191마력)",회색,불가,999만원,31,무,유,유,유,무,유,무,유,무,무,미등록,,,,,,,,,
947,현대 쏘나타 하이브리드  2.0 HEV 프리미어   ,차량번호 69구5094,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2211761&gubun=K,2011.12 (12년형),"155,993 km",가솔린 하이브리드,"1,999 cc (150마력)",하늘색,불가,699만원,22,,,,,,,,,,,미등록,,,,,,,,,
948,현대 LF쏘나타 하이브리드  2.0 HEV 프리미엄   ,차량번호 02오0594,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2204624&gubun=K,2016.02,"63,793 km",가솔린 하이브리드,"1,999 cc ()",은하늘색,불가,"1,490만원",준비중,무,무,유,유,무,무,무,무,무,무,미등록,,,,,,,,,
949,현대 쏘나타2  1.8 GL   ,차량번호 05누3115,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2194326&gubun=K,1994.02,"171,000 km",가솔린,"1,796 cc (135마력)",회색 (블루),불가,770만원,63,,,,,,,,,,,미등록,,,,,,,,,
950,현대 제네시스 DH  G380 AWD 파이니스트 에디션   ,차량번호 11다8595,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2216860&gubun=K,2014.05 (15년형),"123,931 km",가솔린,"3,778 cc (315마력)",검정색,불가,"2,090만원",29,유,유,유,유,유,유,유,유,유,유,미등록,,,,,,,,,
951,현대 제네시스 DH  G330 AWD 프리미엄   ,차량번호 160머7404,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215742&gubun=K,2015.09 (16년형),"137,926 km",가솔린,"3,342 cc (282마력)",흰색,불가,"2,250만원",준비중,유,유,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
952,현대 제네시스 쿠페 2.0 터보 P,차량번호 69조4835,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215123&gubun=K,2009.06 (10년형),"138,342 km",가솔린,"1,998 cc (210마력)",진회색,만료,450만원,17,유,무,유,무,무,유,무,유,무,무,등록,4,0,0,0,0,3,"2,217,914",0,0
953,현대 제네시스 BH330  럭셔리,차량번호 112무4884,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2217235&gubun=K,2011.04 (12년형),"213,927 km",가솔린,"3,342 cc (300마력)",흰색,만료,699만원,14,유,무,무,유,유,유,무,유,무,무,등록,0,0,0,0,0,8,"5,433,531",1,"800,000"
954,현대 제네시스  BH330 프리미엄 다이나믹 에디션   ,차량번호 53수7294,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2208736&gubun=K,2013.06 (14년형),"142,620 km",가솔린,"3,342 cc (300마력)",진주색,불가,"1,190만원",23,유,무,유,유,유,유,무,유,무,유,미등록,,,,,,,,,
955,현대 제네시스  BH380 로얄 VIP 팩   ,차량번호 45러1713,https://www.bobaedream.co.kr/mycar/mycar_view.php?no=2215944&gubun=K,2008.02,"259,000 km",가솔린,"3,778 cc (290마력)",검정색,불가,690만원,11,유,무,유,유,무,유,무,유,무,무,미등록,,,,,,,,,
